delivery_id,order_id,driver_id,vehicle_id,assigned_date,actual_delivery_date,status,delivery_attempt,distance_km,delivery_duration_min
DLV00000001,DLVORD00000544,DRV00053,VEH0030,2023-08-27,2023-08-27,Delivered,1,9.35,34
DLV00000002,DLVORD00001896,DRV00076,VEH0048,2024-05-30,2024-05-30,Delivered,1,8.87,60
DLV00000003,DLVORD00001579,DRV00070,VEH0036,2022-11-19,,Rescheduled,2,12.45,68
DLV00000004,DLVORD00001187,DRV00057,VEH0049,2024-03-24,2024-03-30,Delivered,1,22.59,34
DLV00000005,DLVORD00002175,DRV00041,VEH0026,2024-09-22,,Pending,1,9.49,26
DLV00000006,DLVORD00001254,DRV00014,VEH0016,2022-11-23,2022-11-23,Delivered,1,22.21,19
DLV00000007,DLVORD00001545,DRV00008,VEH0013,2023-07-19,2023-07-19,Delivered,1,2.91,64
DLV00000008,DLVORD00001973,DRV00016,VEH0003,2022-12-30,2022-12-30,Delivered,1,27.53,78
DLV00000009,DLVORD00001085,DRV00010,VEH0041,2023-08-13,2023-08-13,Delivered,1,2.59,48
DLV00000010,DLVORD00002067,DRV00021,VEH0046,2023-01-14,2023-01-17,Delivered,1,4.91,19
DLV00000011,DLVORD00001119,DRV00049,VEH0047,2022-06-24,2022-07-02,Delivered,1,18.63,18
DLV00000012,DLVORD00002125,DRV00006,VEH0014,2024-07-14,2024-07-14,Delivered,1,20.56,32
DLV00000013,DLVORD00001333,DRV00035,VEH0016,2022-04-17,,Failed,1,22.47,63
DLV00000014,DLVORD00000226,DRV00064,VEH0020,2023-10-25,2023-10-25,Delivered,1,3.76,12
DLV00000015,DLVORD00000313,DRV00067,VEH0039,2023-01-25,2023-01-31,Delivered,1,11.5,83
DLV00000016,DLVORD00001059,DRV00042,VEH0022,2023-02-12,2023-02-14,Delivered,1,28.35,65
DLV00000017,DLVORD00002945,DRV00039,VEH0030,2022-10-04,2022-10-05,Delivered,1,1.81,53
DLV00000018,DLVORD00002389,DRV00071,VEH0030,2024-11-24,2024-11-24,Delivered,1,16.38,44
DLV00000019,DLVORD00002078,DRV00055,VEH0042,2022-01-25,2022-01-26,Delivered,1,18.51,70
DLV00000020,DLVORD00000334,DRV00051,VEH0010,2023-10-07,,Failed,1,27.81,47
DLV00000021,DLVORD00001952,DRV00071,VEH0002,2022-11-30,2022-12-02,Delivered,1,10.59,48
DLV00000022,DLVORD00001629,DRV00042,VEH0028,2024-04-19,2024-04-19,Delivered,1,22.23,60
DLV00000023,DLVORD00000009,DRV00065,VEH0028,2024-03-12,2024-03-12,Delivered,1,12.59,30
DLV00000024,DLVORD00001710,DRV00038,VEH0046,2023-09-03,2023-09-05,Delivered,1,5.01,36
DLV00000025,DLVORD00001794,DRV00076,VEH0049,2023-04-07,,Failed,1,4.68,49
DLV00000026,DLVORD00002692,DRV00067,VEH0038,2022-10-21,2022-10-21,Delivered,1,6.42,28
DLV00000027,DLVORD00000885,DRV00056,VEH0024,2024-06-23,2024-06-23,Delivered,1,8.32,47
DLV00000028,DLVORD00000038,DRV00074,VEH0019,2024-04-29,,Rescheduled,1,7.29,28
DLV00000029,DLVORD00000434,DRV00077,VEH0019,2023-08-27,2023-08-27,Delivered,1,4.05,60
DLV00000030,DLVORD00002837,DRV00057,VEH0020,2023-04-22,,Failed,1,11.92,40
DLV00000031,DLVORD00000789,DRV00063,VEH0045,2024-04-30,,Pending,1,24.95,39
DLV00000032,DLVORD00002089,DRV00035,VEH0038,2023-08-12,2023-08-12,Delivered,1,18.19,8
DLV00000033,DLVORD00001135,DRV00046,VEH0049,2024-10-24,2024-10-31,Delivered,1,7.03,12
DLV00000034,DLVORD00001152,DRV00014,VEH0049,2022-07-08,2022-07-08,Delivered,1,2.04,30
DLV00000035,DLVORD00000251,DRV00001,VEH0008,2023-12-30,2024-01-06,Delivered,1,10.13,17
DLV00000036,DLVORD00002139,DRV00002,VEH0036,2024-03-10,2024-03-10,Delivered,1,1.66,70
DLV00000037,DLVORD00000148,DRV00059,VEH0036,2022-03-06,2022-03-13,Delivered,1,17.03,90
DLV00000038,DLVORD00000687,DRV00008,VEH0022,2024-02-19,,Failed,1,15.38,82
DLV00000039,DLVORD00001972,DRV00030,VEH0029,2023-11-09,,Rescheduled,1,6.95,37
DLV00000040,DLVORD00001197,DRV00031,VEH0040,2024-03-31,2024-04-01,Delivered,1,25.68,71
DLV00000041,DLVORD00002902,DRV00055,VEH0049,2024-08-19,,Rescheduled,1,21.43,13
DLV00000042,DLVORD00000167,DRV00009,VEH0002,2023-02-19,2023-02-20,Delivered,1,26.32,75
DLV00000043,DLVORD00001098,DRV00034,VEH0047,2024-11-16,,Pending,1,7.22,68
DLV00000044,DLVORD00002817,DRV00050,VEH0028,2023-07-27,2023-07-28,Delivered,1,4.98,23
DLV00000045,DLVORD00001589,DRV00050,VEH0004,2024-09-04,2024-09-06,Delivered,1,27.66,72
DLV00000046,DLVORD00001868,DRV00022,VEH0030,2024-12-05,,Rescheduled,1,16.26,72
DLV00000047,DLVORD00000888,DRV00071,VEH0025,2024-07-19,2024-07-30,Delivered,1,20.54,56
DLV00000048,DLVORD00002502,DRV00019,VEH0024,2022-07-20,2022-07-22,Delivered,1,13.19,7
DLV00000049,DLVORD00002378,DRV00079,VEH0010,2023-04-08,2023-04-14,Delivered,1,11.53,70
DLV00000050,DLVORD00002979,DRV00008,VEH0015,2024-05-17,,Pending,1,24.7,53
DLV00000051,DLVORD00001675,DRV00059,VEH0015,2024-01-28,2024-01-28,Delivered,1,19.2,23
DLV00000052,DLVORD00000731,DRV00002,VEH0003,2022-10-21,2022-10-22,Delivered,1,29.69,36
DLV00000053,DLVORD00002951,DRV00029,VEH0013,2023-05-29,2023-05-29,Delivered,1,24.15,13
DLV00000054,DLVORD00002821,DRV00041,VEH0021,2024-10-30,2024-10-30,Delivered,1,6.7,74
DLV00000055,DLVORD00000637,DRV00010,VEH0001,2024-04-07,2024-04-07,Delivered,1,20.84,71
DLV00000056,DLVORD00001081,DRV00011,VEH0050,2023-05-07,2023-05-07,Delivered,1,4.76,34
DLV00000057,DLVORD00000414,DRV00030,VEH0042,2022-11-12,2022-11-13,Delivered,1,10.08,28
DLV00000058,DLVORD00001257,DRV00002,VEH0030,2022-07-02,2022-07-02,Delivered,1,3.0,48
DLV00000059,DLVORD00000445,DRV00005,VEH0048,2023-02-06,2023-02-10,Delivered,1,15.49,70
DLV00000060,DLVORD00000445,DRV00047,VEH0003,2023-02-06,2023-02-09,Delivered,1,19.92,30
DLV00000061,DLVORD00001860,DRV00057,VEH0045,2024-04-25,2024-04-26,Delivered,1,17.11,89
DLV00000062,DLVORD00001487,DRV00026,VEH0005,2024-12-09,,Rescheduled,1,1.43,56
DLV00000063,DLVORD00000539,DRV00005,VEH0008,2023-09-02,,Failed,1,5.91,76
DLV00000064,DLVORD00000481,DRV00002,VEH0036,2023-12-14,,Pending,1,10.98,54
DLV00000065,DLVORD00000403,DRV00049,VEH0011,2023-07-07,,Pending,1,13.96,60
