order_id,customer_id,order_date,delivery_zone_id,package_weight_kg,service_type,priority,total_value
DLVORD00000001,DLVCUST0000332,2023-02-22,ZONE0016,11.25,Economy,Normal,1264.97
DLVORD00000002,DLVCUST0000213,2024-05-09,ZONE0011,43.31,Express,Urgent,3355.53
DLVORD00000003,DLVCUST0000173,2023-08-31,ZONE0020,46.17,Express,Urgent,603.32
DLVORD00000004,DLVCUST0000324,2024-05-25,ZONE0005,10.36,Next Day,High,3600.34
DLVORD00000005,DLVCUST0000020,2023-10-14,ZONE0020,2.3,Standard,Normal,2142.62
DLVORD00000006,DLVCUST0000398,2024-04-17,ZONE0005,29.06,Next Day,Urgent,1140.13
DLVORD00000007,DLVCUST0000398,2024-11-22,ZONE0005,8.16,Next Day,Normal,3622.75
DLVORD00000008,DLVCUST0000193,2022-01-20,ZONE0016,1.16,Economy,High,284.51
DLVORD00000009,DLVCUST0000067,2024-03-12,ZONE0010,0.19,Express,High,4799.45
DLVORD00000010,DLVCUST0000192,2023-08-02,ZONE0002,34.16,Same Day,High,3961.33
DLVORD00000011,DLVCUST0000070,2022-04-19,ZONE0010,49.58,Economy,Urgent,1844.26
DLVORD00000012,DLVCUST0000017,2024-02-22,ZONE0008,37.66,Express,Urgent,3967.32
DLVORD00000013,DLVCUST0000136,2023-09-13,ZONE0019,36.17,Same Day,Normal,52.55
DLVORD00000014,DLVCUST0000058,2024-05-10,ZONE0018,3.54,Express,Normal,2976.2
DLVORD00000015,DLVCUST0000101,2024-08-20,ZONE0019,48.59,Standard,Normal,3458.1
DLVORD00000016,DLVCUST0000255,2024-09-08,ZONE0016,35.22,Express,High,2576.97
DLVORD00000017,DLVCUST0000335,2022-05-16,ZONE0017,8.39,Next Day,Normal,1080.51
DLVORD00000018,DLVCUST0000067,2023-09-18,ZONE0010,1.78,Same Day,Normal,2641.87
DLVORD00000019,DLVCUST0000056,2023-12-09,ZONE0004,21.98,Express,High,718.78
DLVORD00000020,DLVCUST0000153,2024-02-04,ZONE0016,3.16,Economy,Normal,3681.6
DLVORD00000021,DLVCUST0000111,2023-12-16,ZONE0018,32.86,Standard,High,2772.47
DLVORD00000022,DLVCUST0000397,2024-11-12,ZONE0016,0.29,Express,Normal,102.56
DLVORD00000023,DLVCUST0000106,2023-12-22,ZONE0019,3.71,Economy,Urgent,2428.73
DLVORD00000024,DLVCUST0000213,2022-06-23,ZONE0011,20.68,Economy,High,3428.41
DLVORD00000025,DLVCUST0000267,2022-06-21,ZONE0010,24.07,Next Day,High,21.52
DLVORD00000026,DLVCUST0000354,2024-03-26,ZONE0011,17.08,Same Day,Normal,1065.93
DLVORD00000027,DLVCUST0000107,2022-06-24,ZONE0007,1.29,Standard,Normal,616.47
DLVORD00000028,DLVCUST0000370,2023-10-19,ZONE0018,16.31,Next Day,High,1952.31
DLVORD00000029,DLVCUST0000099,2023-06-25,ZONE0002,2.25,Economy,Urgent,92.52
DLVORD00000030,DLVCUST0000321,2023-08-20,ZONE0017,9.94,Standard,Normal,2308.91
DLVORD00000031,DLVCUST0000204,2024-08-23,ZONE0005,30.18,Express,High,1149.02
DLVORD00000032,DLVCUST0000308,2023-01-12,ZONE0008,49.46,Same Day,High,383.8
DLVORD00000033,DLVCUST0000071,2023-07-24,ZONE0001,29.6,Next Day,High,4114.22
DLVORD00000034,DLVCUST0000228,2024-04-25,ZONE0018,22.4,Express,Normal,692.77
DLVORD00000035,DLVCUST0000160,2024-07-12,ZONE0009,26.62,Economy,Urgent,3508.85
DLVORD00000036,DLVCUST0000294,2022-02-14,ZONE0002,46.23,Economy,Normal,4406.36
DLVORD00000037,DLVCUST0000397,2024-08-06,ZONE0016,24.79,Next Day,Normal,2605.86
DLVORD00000038,DLVCUST0000154,2024-04-29,ZONE0014,33.32,Same Day,High,3737.65
DLVORD00000039,DLVCUST0000210,2024-08-30,ZONE0009,37.91,Next Day,Urgent,4584.99
DLVORD00000040,DLVCUST0000136,2023-04-19,ZONE0019,37.3,Same Day,High,4423.1
DLVORD00000041,DLVCUST0000364,2023-11-03,ZONE0008,4.72,Same Day,Normal,4998.05
DLVORD00000042,DLVCUST0000247,2024-06-27,ZONE0012,9.23,Next Day,High,1836.46
DLVORD00000043,DLVCUST0000239,2022-08-19,ZONE0017,41.65,Economy,Normal,1528.76
DLVORD00000044,DLVCUST0000269,2023-11-12,ZONE0015,49.64,Economy,Normal,2192.86
DLVORD00000045,DLVCUST0000369,2024-03-25,ZONE0004,5.17,Next Day,High,3348.08
DLVORD00000046,DLVCUST0000369,2024-01-02,ZONE0004,9.69,Same Day,High,1908.14
DLVORD00000047,DLVCUST0000088,2023-11-19,ZONE0007,42.52,Standard,High,3653.66
DLVORD00000048,DLVCUST0000166,2023-03-18,ZONE0019,1.37,Economy,Urgent,4095.64
DLVORD00000049,DLVCUST0000291,2023-06-30,ZONE0007,29.38,Same Day,Normal,4979.57
DLVORD00000050,DLVCUST0000275,2022-05-01,ZONE0017,46.28,Standard,High,2730.3
DLVORD00000051,DLVCUST0000179,2022-06-03,ZONE0002,47.41,Standard,Normal,3479.76
DLVORD00000052,DLVCUST0000073,2023-12-21,ZONE0006,48.8,Express,High,987.46
DLVORD00000053,DLVCUST0000174,2023-01-26,ZONE0006,24.76,Express,Urgent,4306.53
DLVORD00000054,DLVCUST0000306,2022-09-08,ZONE0004,44.46,Economy,Urgent,1771.19
DLVORD00000055,DLVCUST0000075,2024-10-18,ZONE0004,18.74,Next Day,Normal,1732.43
DLVORD00000056,DLVCUST0000071,2024-05-26,ZONE0001,38.4,Economy,Urgent,4504.5
DLVORD00000057,DLVCUST0000052,2023-06-04,ZONE0013,37.38,Same Day,Normal,3621.79
DLVORD00000058,DLVCUST0000213,2023-02-27,ZONE0011,8.21,Express,Normal,3581.16
DLVORD00000059,DLVCUST0000151,2024-10-27,ZONE0020,5.58,Express,Normal,1465.45
DLVORD00000060,DLVCUST0000055,2024-03-05,ZONE0019,9.85,Express,High,96.73
DLVORD00000061,DLVCUST0000085,2022-10-09,ZONE0010,45.24,Express,High,3009.75
DLVORD00000062,DLVCUST0000103,2022-02-06,ZONE0003,38.03,Express,Normal,4793.35
DLVORD00000063,DLVCUST0000007,2024-12-05,ZONE0020,3.35,Same Day,High,1248.46
DLVORD00000064,DLVCUST0000251,2022-11-19,ZONE0015,3.48,Economy,Normal,1420.85
DLVORD00000065,DLVCUST0000229,2023-09-10,ZONE0018,19.13,Standard,Normal,4293.6
DLVORD00000066,DLVCUST0000316,2023-09-18,ZONE0016,2.81,Standard,Urgent,643.88
DLVORD00000067,DLVCUST0000388,2023-04-03,ZONE0014,41.28,Express,Urgent,2388.87
DLVORD00000068,DLVCUST0000248,2022-06-10,ZONE0011,20.65,Standard,Urgent,1502.57
DLVORD00000069,DLVCUST0000222,2023-02-23,ZONE0016,11.63,Express,High,4066.81
DLVORD00000070,DLVCUST0000219,2023-02-05,ZONE0018,13.22,Express,High,3031.33
DLVORD00000071,DLVCUST0000245,2023-05-18,ZONE0012,48.37,Economy,Normal,248.04
DLVORD00000072,DLVCUST0000157,2023-06-13,ZONE0013,37.1,Express,High,308.37
DLVORD00000073,DLVCUST0000306,2022-05-26,ZONE0004,24.69,Express,High,759.08
DLVORD00000074,DLVCUST0000327,2023-03-14,ZONE0004,49.85,Standard,Urgent,255.63
DLVORD00000075,DLVCUST0000108,2024-10-14,ZONE0012,46.89,Standard,High,4561.91
DLVORD00000076,DLVCUST0000301,2024-02-14,ZONE0006,19.4,Economy,Urgent,3936.53
DLVORD00000077,DLVCUST0000267,2022-05-05,ZONE0010,5.02,Express,Urgent,766.66
DLVORD00000078,DLVCUST0000157,2023-12-03,ZONE0013,43.64,Standard,Urgent,3146.35
DLVORD00000079,DLVCUST0000197,2023-12-29,ZONE0010,24.57,Standard,Urgent,3935.97
DLVORD00000080,DLVCUST0000219,2023-02-27,ZONE0018,44.35,Next Day,High,417.61
DLVORD00000081,DLVCUST0000400,2024-09-18,ZONE0010,17.27,Same Day,Normal,3686.95
DLVORD00000082,DLVCUST0000193,2023-03-25,ZONE0016,9.29,Same Day,High,2930.29
DLVORD00000083,DLVCUST0000043,2023-05-10,ZONE0012,34.55,Standard,High,4254.62
DLVORD00000084,DLVCUST0000205,2022-03-09,ZONE0013,22.29,Standard,Normal,1944.23
DLVORD00000085,DLVCUST0000400,2023-01-12,ZONE0010,46.13,Next Day,Normal,1587.59
DLVORD00000086,DLVCUST0000391,2024-07-23,ZONE0010,32.14,Standard,Urgent,518.53
DLVORD00000087,DLVCUST0000047,2023-07-31,ZONE0017,23.86,Next Day,High,1284.91
DLVORD00000088,DLVCUST0000166,2024-03-30,ZONE0019,22.34,Same Day,Urgent,3830.34
