vehicle_id,vehicle_type,fuel_type,max_payload_kg,depot,last_service_date,is_active
VEH0001,Electric Van,Electric,1396.64,ZONE0006,2021-11-15,Yes
VEH0002,Electric Van,Hybrid,1212.77,ZONE0013,2021-12-29,Yes
VEH0003,Cargo Bike,Petrol,1898.83,ZONE0012,2022-02-04,Yes
VEH0004,Cargo Bike,Petrol,735.88,ZONE0009,2021-10-02,Yes
VEH0005,Motorbike,Electric,1799.65,ZONE0015,2022-01-06,Yes
VEH0006,Truck,Electric,1623.22,ZONE0006,2021-11-29,Yes
VEH0007,Car,Hybrid,764.64,ZONE0016,2021-12-29,Yes
VEH0008,Cargo Bike,Hybrid,389.19,ZONE0008,2022-01-16,Yes
VEH0009,Van,Diesel,546.28,ZONE0020,2021-11-01,Yes
VEH0010,Car,Electric,455.37,ZONE0013,2021-12-26,Yes
VEH0011,Car,Electric,1149.43,ZONE0004,2021-10-01,Yes
VEH0012,Car,Hybrid,1685.96,ZONE0009,2021-12-13,Yes
VEH0013,Truck,Petrol,1524.9,ZONE0020,2021-11-03,Yes
VEH0014,Truck,Petrol,1667.7,ZONE0016,2021-12-23,Yes
VEH0015,Car,Hybrid,740.08,ZONE0002,2021-11-20,Yes
VEH0016,Car,Petrol,1591.28,ZONE0015,2022-01-21,Yes
VEH0017,Cargo Bike,Electric,1793.08,ZONE0019,2022-01-01,Yes
VEH0018,Electric Van,Diesel,1232.31,ZONE0015,2021-12-31,Yes
VEH0019,Motorbike,Electric,940.43,ZONE0005,2022-02-14,Yes
VEH0020,Motorbike,Electric,967.03,ZONE0006,2021-12-26,Yes
VEH0021,Truck,Hybrid,1005.92,ZONE0012,2021-12-01,Yes
VEH0022,Electric Van,Hybrid,822.84,ZONE0003,2022-02-23,Yes
VEH0023,Cargo Bike,Petrol,983.79,ZONE0017,2021-11-08,Yes
VEH0024,Van,Hybrid,636.36,ZONE0013,2021-12-20,Yes
VEH0025,Cargo Bike,Hybrid,951.52,ZONE0016,2022-02-08,Yes
VEH0026,Truck,Electric,805.19,ZONE0002,2021-10-19,Yes
VEH0027,Motorbike,Petrol,520.68,ZONE0004,2022-01-03,Yes
VEH0028,Motorbike,Diesel,1653.37,ZONE0015,2021-12-26,Yes
VEH0029,Van,Diesel,585.75,ZONE0012,2021-11-17,Yes
VEH0030,Van,Petrol,1616.97,ZONE0003,2021-09-26,Yes
VEH0031,Motorbike,Hybrid,1836.23,ZONE0002,2021-10-20,Yes
VEH0032,Cargo Bike,Hybrid,1676.4,ZONE0007,2021-11-06,Yes
VEH0033,Motorbike,Petrol,883.57,ZONE0012,2022-01-07,Yes
VEH0034,Truck,Diesel,546.72,ZONE0020,2021-12-10,Yes
VEH0035,Cargo Bike,Electric,1577.11,ZONE0012,2021-10-15,Yes
VEH0036,Van,Diesel,1868.35,ZONE0005,2021-11-21,Yes
VEH0037,Car,Diesel,1948.95,ZONE0015,2021-09-21,Yes
VEH0038,Electric Van,Petrol,1948.74,ZONE0003,2022-02-10,Yes
VEH0039,Van,Hybrid,1392.62,ZONE0017,2021-12-14,Yes
VEH0040,Truck,Hybrid,1772.53,ZONE0011,2021-09-14,Yes
VEH0041,Truck,Electric,750.81,ZONE0011,2022-01-07,Yes
VEH0042,Van,Petrol,1554.51,ZONE0009,2021-10-08,Yes
VEH0043,Car,Hybrid,1019.62,ZONE0013,2021-11-07,Yes
VEH0044,Car,Diesel,837.38,ZONE0007,2021-12-01,Yes
VEH0045,Truck,Petrol,1676.85,ZONE0015,2021-12-08,Yes
VEH0046,Cargo Bike,Diesel,1166.63,ZONE0015,2021-12-17,Yes
VEH0047,Truck,Electric,666.0,ZONE0015,2022-02-14,Yes
VEH0048,Cargo Bike,Electric,1888.6,ZONE0019,2021-10-28,Yes
VEH0049,Electric Van,Petrol,1522.83,ZONE0004,2022-03-24,Yes
VEH0050,Cargo Bike,Diesel,1646.23,ZONE0014,2021-12-08,Yes
